GEN_N,FISH_N,,,,
217,GS_LOP_08212021_MWT_007,,264,CLM_WFL_09102021_MWT_006,
218,BK_LOP_08212021_MWT_003,,265,BB_WFL_09102021_MWT_005,
219,BK_LOP_08212021_MWT_002,,266,BB_WFL_09102021_MWT_003,
220,BK_LOP_08212021_MWT_004,,267,BB_WFL_09102021_MWT_004,
221,GS_TPP_08222021_MWT_005,,268,RBS_WFL_09102021_MWT_002,
222,CC_TPP_08222021_MWT_011,,269,WS_WFL_09102021_MWT_001,
223,GS_TPP_08222021_MWT_017,,270,CLM_WFL_09102021_MWT_004,
224,CC_TPP_08222021_MWT_016,,271,CLM_WFL_09102021_MWT_002,
225,GS_TPP_08222021_MWT_019,,272,CLM_WFL_09102021_MWT_003,
226,GS_TPP_08222021_MWT_012,,273,BB_WFL_09102021_MWT_002,
227,GS_TPP_08222021_MWT_011,,274,RBS_WFL_09102021_MWT_001,
228,CC_TPP_08222021_MWT_012,,275,CC_WFL_09102021_MWT_001,
229,GS_TPP_08222021_MWT_016,,276,BB_WFL_09102021_MWT_001,
230,CC_TPP_08222021_MWT_015,,277,CC_WFL_09102021_MWT_002,
231,NRD_TPP_08222021_MWT_001,,278,CC_WFL_09102021_MWT_003,
232,NRD_TPP_08222021_MWT_004,,279,PS_LOP_08202021_MWT_004,
233,BND_TPP_08222021_MWT_001,,280,PS_LOP_08202021_MWT_005,
234,NRD_TPP_08222021_MWT_007,,281,GS_TPP_08212021_MWT_001,
235,GS_TPP_08222021_MWT_006,,282,CC_TPP_08212021_MWT_001,
236,NRD_TPP_08222021_MWT_005,,283,CC_TPP_08212021_MWT_002,
237,CC_TPP_08222021_MWT_009,,284,CC_LOP_08202021_MWT_006,
238,GS_TPP_08222021_MWT_018,,285,PS_LOP_08202021_MWT_006,
239,BND_TPP_08222021_MWT_002,,286,BB_LOP_08202021_MWT_009,
240,CC_TPP_08222021_MWT_010,,287,FHM_LOP_08202021_MWT_001,
241,CC_TPP_08222021_MWT_013,,288,BB_LOP_08202021_MWT_007,
242,NRD_TPP_08222021_MWT_006,,289,BB_LOP_08202021_MWT_008,
243,CC_TPP_08222021_MWT_014,,290,GS_TPP_08202021_MWT_006,
244,NRD_TPP_08222021_MWT_002,,291,CC_TPP_08202021_MWT_008,
292,FHM_TPP_08202021_MWT_003,,340,GS_TPP_08222021_MWT_010,
293,CC_TPP_08202021_MWT_007,,341,GS_TPP_08222021_MWT_004,
294,GS_TPP_08202021_MWT_005,,342,WS_TPP_08222021_MWT_002,
295,GS_TPP_08202021_MWT_008,,343,BB_TPP_08222021_MWT_004,
296,GS_TPP_08202021_MWT_007,,344,NPD_TPP_08222021_MWT_001,
297,FHM_TPP_08202021_MWT_002,,345,BB_TPP_08222021_MWT_003,
298,CC_TPP_08202021_MWT_009,,346,BB_TPP_08222021_MWT_001,
299,NRD_TPP_08202021_MWT_001,,347,GS_TPP_08222021_MWT_008,
300,NRD_TPP_08202021_MWT_002,,348,GS_TPP_08222021_MWT_003,
301,CC_TPP_08202021_MWT_017,,349,GS_TPP_08222021_MWT_009,
302,GS_TPP_08202021_MWT_011,,350,BK_LOP_08212021_MWT_001,
303,CC_TPP_08202021_MWT_010,,351,CC_LOP_08222021_MWT_005,
304,CC_TPP_08202021_MWT_016,,352,CC_LOP_08222021_MWT_003,
305,CC_TPP_08202021_MWT_019,,353,BM_LOP_08222021_MWT_008,
306,CC_TPP_08202021_MWT_011,,354,CC_LOP_08222021_MWT_007,
307,CC_TPP_08202021_MWT_013,,355,CC_LOP_08222021_MWT_008,
308,CC_TPP_08202021_MWT_012,,356,BM_LOP_08222021_MWT_006,
309,GS_TPP_08202021_MWT_009,,357,BK_LOP_08222021_MWT_002,
310,GS_TPP_08202021_MWT_015,,358,CC_LOP_08222021_MWT_001,
311,GS_TPP_08202021_MWT_012,,359,BM_LOP_08222021_MWT_009,
312,GS_TPP_08202021_MWT_014,,360,BM_LOP_08222021_MWT_010,
313,BB_TPP_08202021_MWT_010,,361,BM_LOP_08222021_MWT_004,
314,GS_TPP_08202021_MWT_013,,362,BM_LOP_08222021_MWT_001,
315,CC_TPP_08202021_MWT_015,,363,BM_LOP_08222021_MWT_011,
316,BB_TPP_08202021_MWT_011,,364,BM_LOP_08222021_MWT_002,
317,CC_TPP_08202021_MWT_014,,365,BM_LOP_08222021_MWT_003,
318,CC_TPP_08202021_MWT_018,,366,BK_LOP_08222021_MWT_003,
319,GS_TPP_08202021_MWT_010,,372,CC_HRM_SHI_09262021_MWT_024,
320,NRD_TPP_08202021_MWT_003,,373,CC_HRM_SHI_09262021_MWT_026,
321,CC_WFL_09102021_MWT_005,,374,CC_HRM_SHI_09262021_MWT_023,
322,CC_WFL_09102021_MWT_006,,375,CC_HRM_SHI_09262021_MWT_022,
323,CC_WFL_09102021_MWT_007,,376,NRD_HRM_SHI_09262021_MWT_024,
324,WS_TPP_08222021_MWT_003,,377,GS_HRM_SHI_09262021_MWT_001,
325,WS_TPP_08222021_MWT_004,,378,CC_HRM_SHI_09262021_MWT_025,
326,CC_TPP_08222021_MWT_019,,379,NRD_HRM_SHI_09262021_MWT_023,
327,CC_TPP_08222021_MWT_020,,380,GS_HRM_SHI_09262021_MWT_002,
328,CC_TPP_08222021_MWT_021,,381,CC_COM_06242021_MWT_007,
329,CC_TPP_08222021_MWT_018,,382,CC_COM_06242021_MWT_008,
330,GS_TPP_08222021_MWT_013,,383,CC_COM_06242021_MWT_004,
332,CC_TPP_08222021_MWT_017,,384,CC_COM_06242021_MWT_005,
333,GS_TPP_08222021_MWT_015,,385,CC_COM_06242021_MWT_003,
334,GS_TPP_08222021_MWT_014,,386,CC_COM_06242021_MWT_001,
335,GS_TPP_08212021_MWT_004,,387,CC_COM_06242021_MWT_006,
336,GS_TPP_08222021_MWT_002,,388,CC_COM_06242021_MWT_002,
337,GS_TPP_08222021_MWT_001,,389,NRD_COM_06242021_MWT_002,
338,WS_TPP_08222021_MWT_001,,390,NRD_COM_06242021_MWT_001,
339,BB_TPP_08222021_MWT_002,,391,LLS_PRL_6232021_GLN_002,
392,LLS_PRL_6232021_GLN_003,,444,FHM_LOP_06202021_MWT_005,
393,BND_PRL_0712021_MWT_001,,445,FHM_LOP_06202021_MWT_004,
394,CC_PRL_06232021_MWT_003,,446,FHM_LOP_06202021_MWT_008,
395,ST_PRL_06232021_MWT_001,,447,FHM_LOP_06202021_MWT_007,
396,ST_PRL_06232021_MWT_002,,448,BM_LOP_06202021_MWT_003,
397,CC_PRL_06232021_MWT_001,,449,FHM_LOP_06202021_MWT_006,
398,CC_PRL_06232021_MWT_004,,450,CS_LOP_06192021_MWT_005,
399,LLS_PRL_6232021_GLN_001,,451,CS_LOP_06192021_MWT_007,
400,CC_PRL_06232021_MWT_002,,452,CS_LOP_06192021_MWT_008,
406,GS_TPP_06262021_MWT_006,,453,BB_LOP_06192021_MWT_001,
407,GS_TPP_06262021_MWT_007,,454,PS_LOP_06192021_MWT_002,
408,GS_TPP_06262021_MWT_005,,455,FHM_LOP_06192021_MWT_004,
409,GS_TPP_06262021_MWT_003,,456,BB_LOP_06192021_MWT_002,
410,GS_TPP_06262021_MWT_001,,457,GS_LOP_06192021_MWT_006,
411,NRD_TPP_06262021_MWT_002,,458,PS_LOP_06192021_MWT_001,
412,GS_TPP_06262021_MWT_002,,459,CC_LOP_06192021_MWT_002,
413,NRD_TPP_06262021_MWT_007,,460,BM_LOP_06192021_MWT_004,
414,GS_TPP_06262021_MWT_004,,461,GS_LOP_06192021_MWT_007,
415,NRD_TPP_06262021_MWT_005,,462,GS_LOP_06192021_MWT_003,
416,NRD_TPP_06262021_MWT_003,,463,GS_LOP_06192021_MWT_014,
417,NRD_TPP_06262021_MWT_004,,464,CS_LOP_06192021_MWT_002,
418,FHM_TPP_06262021_MWT_006,,465,GS_LOP_06192021_MWT_013,
419,NRD_TPP_06262021_MWT_001,,466,GS_LOP_06192021_MWT_012,
420,CC_TPP_06262021_MWT_006,,467,ST_LOP_06192021_MWT_001,
421,BND_TPP_06282021_MWT_002,,468,BB_LOP_06192021_MWT_003,
422,BND_TPP_06282021_MWT_003,,469,CS_LOP_06192021_MWT_001,
423,BND_TPP_06282021_MWT_001,,470,GS_LOP_06192021_MWT_008,
424,ST_PRL_6232021_GLN_002,,471,CC_LOP_06192021_MWT_003,
425,ST_PRL_6242021_GLN_001,,472,CS_LOP_06192021_MWT_004,
426,LLS_PRL_6242021_GLN_001,,473,WS_LOP_06192021_MWT_001,
427,BND_PRL_06242021_MWT_001,,474,NRD_LOP_06192021_MWT_001,
428,FHM_LOP_06202021_MWT_001,,475,CS_LOP_06192021_MWT_003,
429,GS_LOP_06202021_MWT_001,,476,CC_LOP_06192021_MWT_001,
430,CC_LOP_06202021_MWT_003,,477,FHM_LOP_06192021_MWT_005,
431,FHM_LOP_06202021_MWT_002,,478,GS_LOP_06192021_MWT_009,
432,CC_LOP_06202021_MWT_001,,479,GS_LOP_06192021_MWT_004,
433,CC_LOP_06202021_MWT_002,,480,FHM_LOP_06192021_MWT_003,
