ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
,,,,11,,,2,,,,,,290,66,,55,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069890,58.3,466,Champlain,Saranac Lake 
,,,,,,,,,,,,,47,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10342,0.3,466,Champlain,Saranac Lake 
8,,,,,,,,4,3,116,,,32,5,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,14,,,,,,,,,,,6684667,22.1,506,Champlain,Saranac Lake 
35,,,,,,,33,203,,65,,,26,,,,,,,,,3,,,,,,10,,,23,,,,,,,,,,,,,,,,,,,,,,,,112306,9.7,478,Champlain,Saranac Lake 
,,,,1,,,7,,,1,,,108,14,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122995,9.9,482,Champlain,Saranac Lake 
5,,,,,,,,,,,30,,82,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,5243,0.9,468,Champlain,Saranac Lake 
3,,,,,,,206,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79655,13.8,596,Champlain,Saranac Lake
58,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59361,4,610,Champlain,Ampersand Lake 
1,,,,,,,8,,,34,,,4,3,,,,,,,,,,,16,,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,1465479,4,475,Champlain,Saranac Lake
19,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147082,2.9,475,Champlain,Saranac Lake 
2,,,,,,,,,,29,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18224,2.4,488,Champlain,Saranac Lake 
,,,,25,,,19,,,15,,,175,57,,161,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,318532,32.8,468,Champlain,Saranac Lake 
,,,,,,,5,,,5,,,41,6,,275,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451623,26,468,Champlain,Saranac Lake 
,,,,,,,52,,,,,,8,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225705,13.4,475,Champlain,Saranac Lake 
,4,1,,,,,113,,,,,,249,146,,104,,5,,,,,,,,,86,,,,,,,,,,,,,,,8,,,,,,,,,,,,,7873631,28.3,474,Champlain,Saranac Lake 
,,,,14,,,9,,,,,,43,6,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728901,16.7,476,Champlain,Saranac Lake 
34,,,,,,,72,,4,20,,,158,65,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,78419,2.8,483,Champlain,Saranac Lake 
,,,,,,,,,5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16568,2.4,485,Champlain,Tupper Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4264,0.5,475,Champlain,Upper Saranac Lake
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,0.4,475,Champlain,Tupper Lake 
,,,,,,,117,,,,345,,151,,,,,,,,,18,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,52239,2.2,484,Champlain,Tupper Lake 
,,,,,,,1,,,,1,,29,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37424,2.4,488,Champlain,Upper Saranac Lake 
,,,,4,,,5,,,,,,9,17,,87,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,12428120,57.4,480,Champlain,Upper Saranac Lake 
14,,10,,,,,,147,187,11,,,,,,,,,,,,,5,,,1,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,1616528,8.6,480,Champlain,Upper Saranac Lake 
20,,,,,,,,53,142,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,53540,6.5,479,Champlain,Upper Saranac Lake 
,33,6,,,,,9,,,,,,35,29,,241,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5833691,24.6,486,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32422,0.8,486,Champlain,Upper Saranac Lake 
,,,,6,,,8,,,1,,,22,4,,355,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1189016,12.4,479,Champlain,Upper Saranac Lake 
,,,,4,,,3,,,,,,2,11,,126,1,2,,,,,,,,,,,,1,,,,,,,,,,,,17,,,,,,,,,,,,,2026059,15.1,480,Champlain,Upper Saranac Lake 
