ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
32,,,,,,,2,,117,1,39,,1,,,,,,,,,,,,,,,,,,4,,,,,,120,,,,,,,,,,,,,,,,,,20187,1.9,479,St. Lawrence - Canada,Loon Lake 
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220033,1.4,503,St. Lawrence - Canada,Loon Lake 
10,2,,,,,,,,10,47,,,31,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111471,7.5,311,St. Lawrence - Canada,St. Regis Falls 
,,,,22,,,9,,,22,,,193,33,33,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773001,157.6,444,St. Lawrence - Canada,Lake Titus 
,,,,11,,,4,,,,,,25,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17744,2.4,449,St. Lawrence - Canada,Lake Titus 
,,,,2,,,9,,,25,,,19,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17787,1.4,449,St. Lawrence - Canada,Lake Titus 
,,,,17,,,3,1,,37,,,134,26,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179577,21.2,444,St. Lawrence - Canada,Lake Titus 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,307721,1.5,456,St. Lawrence - Canada,Lake Titus 
,,,,,,,8,,,34,,,16,9,,7,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611449,8.1,445,St. Lawrence - Canada,Lake Titus 
,,,,4,,,2,1,,8,,2,29,9,19,10,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69077,16.4,445,St. Lawrence - Canada,Lake Titus 
13,,,,,,,,,,45,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46955,3.3,466,St. Lawrence - Canada,Meacham Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,17731,2.1,488,St. Lawrence - Canada,Meacham Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16030,1.8,488,St. Lawrence - Canada,Meacham Lake 
1,,,,,,,,,,187,,,22,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117337,7.3,451,St. Lawrence - Canada,Meacham Lake 
,,,,,,,883,,3,91,43,16,14,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459139,6.9,396,St. Lawrence - Canada,Rainbow Falls 
,,,,,,,,,66,34,2,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61519,6.3,421,St. Lawrence - Canada,Sylvan Falls 
1,,,,,,,,,10,16,,,60,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,7869,1.6,393,St. Lawrence - Canada,Sylvan Falls 
12,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110654,14.1,539,St. Lawrence - Canada,Lake 0zonia 
93,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299072,20.5,454,St. Lawrence - Canada,Lake 0zonia 
,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23456,2.3,408,St. Lawrence - Canada,Sylvan Falls 
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335982,1.6,404,St. Lawrence - Canada,Sylvan Falls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49331,4.1,404,St. Lawrence - Canada,Sylvan Falls 
25,,,2,,,,7,8,30,65,,,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235542,3.4,437,St. Lawrence - Canada,Lake 0zonia
3,,,,,,,,18,,14,,,14,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,5800,0.8,478,St. Lawrence - Canada,Lake 0zonia 
1,,,,,,,20,5,37,2,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,2416,0.5,474,St. Lawrence - Canada,Lake 0zonia 
2,,,,,,,6,12,24,73,,,15,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352304,2.2,476,St. Lawrence - Canada,Upper Saranac Lake 
5,,,,,,,540,2,56,42,39,,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146888,7.5,493,St. Lawrence - Canada,Upper Saranac Lake 
1,,,,,,,11,3,2,95,,,271,12,,205,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,715649,10.7,496,St. Lawrence - Canada,Upper Saranac Lake 
2,,,,,,,2,,3,3,50,,56,12,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386936,0.8,518,St. Lawrence - Canada,Upper Saranac Lake 
21,,,,,,,,25,6,37,2,,120,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1779734,12.3,503,St. Lawrence - Canada,Upper Saranac Lake 
87,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,485426,27.5,527,St. Lawrence - Canada,St Regis Mtn. 
11,,,,,,,,,3,48,4,,,,,,,,,,,,,,2,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,502225,1.7,486,St. Lawrence - Canada,St Regis Mtn. 
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930962,4.4,486,St. Lawrence - Canada,St Regis Mtn. 
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167192,1.5,502,St. Lawrence - Canada,St Regis Mtn. 
9,,,,,,,,,84,86,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176009,2.1,489,St. Lawrence - Canada,St Regis Mtn. 
9,,,,,,,,,6,55,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304499,2.6,496,St. Lawrence - Canada,St Regis Mtn.
1,,,,,,,,29,1,22,,,22,8,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425637,3.1,486,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,53100,0.6,492,St. Lawrence - Canada,St Regis Mtn. 
3,,,,,,,,7,12,42,,,36,26,,,,,,,,,1,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268409,12.4,486,St. Lawrence - Canada,St Regis Mtn. 
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36847,2.8,512,St. Lawrence - Canada,St Regis Mtn. 
4,,,,,,,10,,6,16,,,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36675,4,487,St. Lawrence - Canada,St Regis Mtn. 
3,,,,,,,,,31,1,,,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41204,2.4,503,St. Lawrence - Canada,St Regis Mtn. 
30,,,,,,,,,2,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589818,4.8,510,St. Lawrence - Canada,St Regis Mtn. 
5,,,,,,,,147,1,27,,,2,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519947,2.7,492,St. Lawrence - Canada,St Regis Mtn. 
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60968,1,503,St. Lawrence - Canada,St Regis Mtn. 
2,,,,,,,,,,21,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125215,7.9,503,St. Lawrence - Canada,St Regis Mtn. 
1,,,,,,,,,3,195,1,,88,99,,,,,,,,,,,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7592260,58,493,St. Lawrence - Canada,Upper Saranac Lake 
59,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493249,2.2,493,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,1,,1,46,43,,2,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59055,3.6,493,St. Lawrence - Canada,St Regis Mtn. 
1,,,,,,,1,,,14,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73883,0.7,491,St. Lawrence - Canada,Upper Saranac Lake 
11,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,0.8,494,St. Lawrence - Canada,Upper Saranac Lake 
,,,,,,,10,,41,6,,,36,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,36157,5,334,St. Lawrence - Canada,Nicholville 
25,1,,,,,,2,,18,92,,,205,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035883,18.7,424,St. Lawrence - Canada,Lake 0zonia 
,,5,,,,,,,,34,,,13,28,,38,,15,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,11395910,39.4,421,St. Lawrence - Canada,Lake 0zonia 
,,,,,,,10,3,1,52,,5,12,7,,10,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,21840,3.6,410,St. Lawrence - Canada,Lake 0zonia 
,,,,7,,,3,6,1,1,,,22,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23966,3.1,395,St. Lawrence - Canada,St. Regis Falls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67792,0.4,384,St. Lawrence - Canada,Santa Clara 
9,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102281,0.6,384,St. Lawrence - Canada,Santa Clara 
,,,,7,,,24,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,19012,2.5,381,St. Lawrence - Canada,Santa Clara 
23,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,7663,0.4,381,St. Lawrence - Canada,Santa Clara 
33,,,,,,,,,48,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100766,9.7,490,St. Lawrence - Canada,Meacham Lake 
4,,,,,,,8,,7,,,,,,,,,,,,1,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,14057,1.6,503,St. Lawrence - Canada,Meacham Lake 
5,,,,,,,,,48,,7,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,15339,1.4,510,St. Lawrence - Canada,Meacham Lake 
6,,,,,,,,,41,,49,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,35882,3.1,521,St. Lawrence - Canada,Meacham Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15872,1.1,486,St. Lawrence - Canada,Meacham Lake 
,,,,5,,,,,,10,,,3,4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220257,3,474,St. Lawrence - Canada,Meacham Lake
,,,,10,,,1,,,4,,,54,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133466,4.6,474,St. Lawrence - Canada,Meacham Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14116,0.2,476,St. Lawrence - Canada,Meacham Lake 
,,,,4,,,,,,,,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106022,3.1,478,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27266,0.8,475,St. Lawrence - Canada,St Regis Mtn. 
,,,,1,,,45,,,4,,,17,38,,41,4,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,1277839,17,483,St. Lawrence - Canada,St Regis Mtn. 
,,,,7,,,1,,,18,,,68,1,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383245,4.7,488,St. Lawrence - Canada,St Regis Mtn. 
16,1,,,,,,,,,,9,,305,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,619490,14,498,St. Lawrence - Canada,St Regis Mtn. 
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52101,1.5,518,St. Lawrence - Canada,St Regis Mtn. 
2,,,,,,,1,3,19,33,,,43,3,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34352,4.4,503,St. Lawrence - Canada,St Regis Mtn.
,,,,3,,,7,,,,,,7,3,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273994,4,503,St. Lawrence - Canada,Bloomingdale 
37,,,,,,,1,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31563,2,503,St. Lawrence - Canada,Bloomingdale 
,,,,13,,,2,,,8,,,198,17,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730878,56.2,504,St. Lawrence - Canada,Bloomingdale 
17,,,,,,,4,,,10,,,191,12,,53,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169737,99.7,405,St. Lawrence - Canada,Santa Clara 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,14034,0.8,442,St. Lawrence - Canada,Meno 
26,,,,,,,,,6,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18958,2.1,425,St. Lawrence - Canada,Meno 
,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129221,1.9,425,St. Lawrence - Canada,Meno 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,281999,5,469,St. Lawrence - Canada,Meno
8,,,,,,,4,,20,2,43,,39,17,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1368,0.2,460,St. Lawrence - Canada,Lake 0zonia 
1,,,,,,,3,,,70,,,380,13,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674322,73.1,484,St. Lawrence - Canada,Meno 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46277,1.1,486,St. Lawrence - Canada,Meacham Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35222,3,482,St. Lawrence - Canada,St Regis Mtn. 
12,,,,,,,1,,,1,,,23,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168026,4.7,480,St. Lawrence - Canada,St Regis Mtn. 
3,,,,,,,,48,41,7,48,,26,5,,,,,,,,,7,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,6137,0.9,494,St. Lawrence - Canada,St Regis Mtn. 
13,,,,,,,1,42,2,41,,,96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111233,5.4,509,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12175,0.7,515,St. Lawrence - Canada,St Regis Mtn. 
13,3,,,,,,7,,29,,,,23,,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1571133,3.4,499,St. Lawrence - Canada,St Regis Mtn. 
11,,,,,,,4,2,2,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642,1,497,St. Lawrence - Canada,St Regis Mtn. 
63,,,,,,,6,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804518,7.4,498,St. Lawrence - Canada,St Regis Mtn.
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162157,2.9,498,St. Lawrence - Canada,St Regis Mtn. 
,,,,8,,,3,,,36,,,110,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,7606124,50.7,494,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57116,0.8,497,St. Lawrence - Canada,St Regis Mtn. 
4,,,,,,,,,,,80,30,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9607,0.7,498,St. Lawrence - Canada,St Regis Mtn. 
14,,,,,,,37,,21,,1,,124,8,,,,,,,,,,,,,,,,,15,,,,,,1,,,,,,,,,,,,,,,,,,122283,12.7,499,St. Lawrence - Canada,St Regis Mtn. 
,,,,1,,,1,,,3,,,10,5,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5036554,30.5,494,St. Lawrence - Canada,St Regis Mtn. 
1,,,,,,,29,,,72,,,28,,,104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114918,3.9,499,St. Lawrence - Canada,St Regis Mtn. 
15,,2,,,,,,,,,25,,,,,,,,,,,,,,5,34,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,1890888,8,504,St. Lawrence - Canada,St Regis Mtn. 
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20377,0.3,497,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15811,0.3,497,St. Lawrence - Canada,St Regis Mtn. 
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,0.3,506,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26637,0.7,499,St. Lawrence - Canada,St Regis Mtn. 
81,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492936,5.2,499,St. Lawrence - Canada,St Regis Mtn.
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29702,1.2,503,St. Lawrence - Canada,St Regis Mtn. 
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71146,4.1,509,St. Lawrence - Canada,St Regis Mtn.
,,,,,,,,,,37,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70393,0.4,506,St. Lawrence - Canada,St Regis Mtn. 
,,,,,,,,,,,,,2,13,,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459896,8.4,404,St. Lawrence,Degrasse 
,,,,,,,,,,,,,20,,,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283713,5.9,375,St. Lawrence,Degrasse 
,,,,,,,,,,,,,48,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232168,3.8,378,St. Lawrence,Degrasse 
,,,,,,,,,27,2,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70245,2.3,271,St. Lawrence,West Pierrepont 
16,,,,,,,24,,,,9,31,13,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,585287,4.3,308,St. Lawrence,West Pierrepont 
1,,,,,,,12,3,59,17,58,,17,12,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4269,0.9,289,St. Lawrence,West Pierrepont 
10,,,,,,,,,,,1,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320358,2.8,308,St. Lawrence,West Pierrepont 
,,,,,,,,,24,3,32,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,48819,8.1,302,St. Lawrence,Albert Marsh 
,,,,,,,21,1,,5,41,1,26,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,28861,1.1,332,St. Lawrence,Albert Marsh 
,,,,,,,,,,,,,6,66,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275756,9.9,328,St. Lawrence,Albert Marsh 
,,,,,,,7,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13909,1.2,332,St. Lawrence,Albert Marsh 
,,,,,,,134,6,323,196,58,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,73328,8.4,413,St. Lawrence,Stark 
1,,,,,,,864,,206,216,17,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191825,13.8,449,St. Lawrence,Stark 
12,,,,,,,3,,26,,73,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84147,10.2,472,St. Lawrence,Stark 
,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25784,1.6,271,St. Lawrence,West Pierrepont 
,,,,,,,2,,,17,,,34,6,5,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9410,1,238,St. Lawrence,West Pierrepont 
,,,,,,,76,,,,,,20,41,,39,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348055,16.2,268,St. Lawrence,West Pierrepont 
1,,,,,,,,,6,,1,,296,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,57948,7.1,347,St. Lawrence,Tooley Pond 
12,,,,,,,,2,7,21,,,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187112,8.8,419,St. Lawrence,Tooley Pond 
2,,,,,,,,,10,14,3,,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14846,1.9,419,St. Lawrence,Tooley Pond 
4,,,,,,,49,,19,39,1,,555,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182433,0.6,395,St. Lawrence,Stark 
8,,,,,,,,14,58,32,16,,63,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94762,4.9,442,St. Lawrence,Brother Ponds 
10,,,,,,,,2,36,18,1,,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111110,12.4,445,St. Lawrence,Brother Ponds 
15,,,,,,,,,41,88,202,,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280930,12.9,445,St. Lawrence,Brother Ponds 
7,,,,,,,83,,31,34,2,,1,15,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,117717,4.8,363,St. Lawrence,Tooley Pond 
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198313,2.3,364,St. Lawrence,Tooley Pond
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44014,7.7,381,St. Lawrence,Degrasse 
7,,,,,,,75,2,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20659,2.8,431,St. Lawrence,Newton Falls 
13,,,,,,,491,3,17,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930562,11.4,432,St. Lawrence,Newton Falls 
1,,,,,,,188,1,6,13,,,69,9,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106910,4,443,St. Lawrence,Brother Ponds 
,,,,,,,12,,7,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6778,0.8,466,St. Lawrence,Brother Ponds 
3,,,,,,,129,5,16,23,,,143,20,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24100,4.2,442,St. Lawrence,Brother Ponds 
4,,,,,,,495,6,21,61,,,156,15,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234084,13.4,443,St. Lawrence,Brother Ponds 
,,,,,,,,,,20,,,8,7,121,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689988,14.8,452,St. Lawrence,Cranberry Lake 
2,,,,,,,1028,,10,95,,,130,15,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290858,27.2,457,St. Lawrence,Brother Ponds 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2290,0.3,466,St. Lawrence,Brother Ponds 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2324,0.2,480,St. Lawrence,Childwold 
,,,,,,,227,,1,,,,36,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6085,0.4,474,St. Lawrence,Childwold 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25470,0.3,472,St. Lawrence,Childwold 
,,,,,,,7,,,,3,,178,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16990,1.6,485,St. Lawrence,Childwold 
2,,,,,,,99,,3,25,,,64,2,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60033,5.6,443,St. Lawrence,Brother Ponds 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,169460,6.9,443,St. Lawrence,Brother Ponds 
3,,,,,,,84,,13,56,,,141,4,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97129,9.4,443,St. Lawrence,Brother Ponds
,,,,,,,33,24,5,7,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19637,2.5,454,St. Lawrence,Brother Ponds
12,,,,,,,69,11,11,170,,,50,,14,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77682,14.2,460,St. Lawrence,Childwold 
