Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
40324,UNNAMED POND ,Colton ,Little Tupper Lake ,Y ,Private ,None ,St. Lawrence,Oswegatchie,N,None,None,440655,744440,28.3,21863,16.6,2.1,48847,5205,76,1.7,80,1.3,655,1.7,9.8,0.5,6/20/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40325,INDIAN MOUNTAIN POND ,Clifton ,Cranberry Lake ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440735,744916,35.2,63692,7.3,5.5,48856,5144,64,4.2,30,1.3,525,4.8,3.5,1.4,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40326,ASH POND,Clifton,Wolf Mtn.,Y,Public,Five Ponds,St. Lawrence,Oswegatchie,N,None,None,440604,744950,62.3,46835,31.2,5.5,48830,5137,64,1.5,99,2.3,553,2,8.5,0.6,9/13/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40327,COWHORN POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440528,745049,160,427563,17.8,15.8,48819,5119,76,4.1,2,4.8,530,9,2.8,2.7,6/19/1985,19,,,,,,,,,10,3,4,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40328,OLMSTEAD POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440712,745021,158.7,340923,7.7,6.1,48852,5125,76,18.5,10,1.6,515,20.6,3.5,3.2,6/20/1984,14,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40329,CAT MOUNTAIN POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440539,745144,97.4,235843,11.7,10.1,48823,5109,76,5.3,10,2.8,526,8.3,3.1,1.4,6/20/1985,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40330,BASSOUT POND,Clifton,Wolf Mtn.,Y,Public,Five Ponds,St. Lawrence,Oswegatchie,N,None,None,440520,745157,242.3,256177,26.3,9.1,48815,5105,76,5.2,60,2.8,534,9.2,7.2,1.5,6/19/1986,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40331,UNNAMED POND ,Clifton ,Five Ponds ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440504,745230,158.3,5706,113.1,1.2,48809,5100,76,1.4,99,0.4,536,1.4,210.9,1.1,6/20/1985,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40333,TOAD POND ,Clifton ,Cranberry Lake ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440746,745136,73.3,48677,26.2,7,48858,5111,76,2.3,5,1.7,503,2.8,11.4,0.8,6/22/1984,27,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40334,SPECTACLE POND NORTH ,Clifton ,Cranberry Lake ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440755,745035,15.6,28915,6.5,3,48863,5127,76,2.4,75,1.2,521,2.4,4.1,0.6,6/22/1984,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
