Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
20330,LILYPAD POND ,Keene ,Witherbee ,Y ,Public ,Dix Mtn ,Essex,Champlain,N,None,None,440602,734327,40.3,9741,33.6,1.2,48837,6021,51,1.2,3,0.8,465,1.2,21.1,0.4,10/16/1984,15,,,,,,,81,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20332,CRANBERRY POND ,Keene ,Witherbee ,Y ,Public ,Dix Mtn ,Essex,Champlain,N,None,None,440622,734232,9.3,4936,11.6,1.1,48843,6033,51,0.8,50,0.6,482,0.8,9.6,0.3,10/16/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20333,RHODODENDRON POND ,Keene ,Witherbee ,Y ,Public ,Dix Mtn ,Essex,Champlain,N,None,None,440615,734249,34.8,21994,29,3.8,48840,6029,51,1,2,1.8,483,1.2,8.1,0.5,10/16/1984,6,,,,,,,185,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020333D,WESTPORT F&G CLUB PD #3 ,Westport ,Westport ,Y ,Private ,None ,Essex,Champlain,N,None,None,440932,732810,28.2,4398,40.3,0.9,48903,6224,38,0.7,40,0.6,195,0.7,24.4,0.3,10/29/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20337,UNNAMED POND ,Moriah ,Port Henry ,Y ,Private ,None ,Essex,Champlain,N,None,None,440355,732918,2160.6,163158,313.1,5.2,48799,6212,38,4.3,10,2.4,186,6.9,50.3,1.1,10/3/1985,,9,,,,,,27,,3,44,,1,137,17,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,
20339,MUD POND ,Westport ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440711,733030,40.7,68884,19.4,9.1,48861,6192,38,1.1,15,3.3,485,2.1,2.2,0.7,10/7/1985,3,,,,,,,29,,27,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20340,NORTH POND ,Westport ,Elizabethtown ,Y ,Private ,None ,Essex,Champlain,N,None,None,440740,733050,111.1,414788,7.3,10.4,48873,6192,38,9.2,1,2.7,485,15.2,1,3.3,10/7/1985,45,,,,,,,75,,,47,,,15,17,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
20341,ROE'S (MILL) POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440523,733222,470.5,9966,588.1,2.4,48827,6168,38,0.8,40,1.2,405,0.8,179.4,0.5,9/10/1986,1,2,,,,,,31,,1,29,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20342,ENSIGN POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440159,733608,110.4,15793,58.1,2.1,48764,6119,51,1.9,25,0.8,366,1.9,35.7,0.8,5/13/1986,1,2,,,,,,76,136,13,15,,,48,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20343,PARCH POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440225,733613,45.3,341927,7.7,13.7,48773,6118,51,1.3,5,5.8,460,5.9,0.7,1.2,9/23/1985,,,,,,,,1,,,6,,,2,,,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20344,SMITH POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440132,733450,28.8,17154,12.5,1.5,48757,6141,51,2.3,15,0.7,411,2.3,8.6,0.9,9/25/1985,,,,,,,,85,,10,276,,,83,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20345,LOWER ROCKPORT POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440104,733439,474,83131,79,4.3,48745,6139,51,5.6,1,1.4,445,6,29.1,1.9,10/23/1986,,,11,,,,,,,15,66,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020345A,TUB MILL POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440133,733505,896.1,407134,43.3,4.9,48754,6138,51,15,5,2,411,20.7,11.2,4.9,9/24/1985,,,9,,,,,552,,37,152,,,39,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20346,BIG LOCK POND,Moriah,Witherbee,Y,Private,None,Essex,Champlain,N,None,None,440057,733459,63.5,77731,19.8,5.5,48745,6134,51,1.9,2,2.4,448,3.2,4.2,0.7,9/25/1985,,,,,,,,,,46,31,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20347,UPPER FEEDER POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440049,733452,368.1,23548,102.2,2.1,48740,6139,51,3.6,25,0.7,441,3.6,79.7,1,9/25/1985,,,,,,,,,,27,25,,,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20348,BULLPOUT POND ,Moriah ,Witherbee ,Y ,Private ,None ,Essex,Champlain,N,None,None,440015,733155,76.9,46949,16,2.1,48734,6176,38,4.8,20,1,350,4.8,6.2,1,9/23/1985,,,,,,,,113,,5,,,,69,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20350,SNAKE POND ,Crown Point ,Eagle Lake ,Y ,Private ,None ,Essex,Champlain,N,None,None,435845,733334,71.4,7153,47.6,0.6,48703,6155,51,1.5,90,0.5,350,1.5,50.9,0.5,10/2/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20351,SHERMAN LAKE ,Crown Point ,Eagle Lake ,Y ,Private ,None ,Essex,Champlain,N,None,None,435915,733242,778.6,464363,47.2,14,48714,6172,38,11.8,2,2.8,328,16.5,6.4,3.5,10/22/1986,1,,,,9,,,5,,,1,,,59,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020351B,GOOSEPUDDLE POND ,Crown Point ,Eagle Lake ,Y ,Private ,None ,Essex,Champlain,N,None,None,435935,733243,489.5,40538,153,6.4,48720,6166,38,2.9,50,1.3,338,3.2,45.9,0.7,10/22/1986,7,,,,,,,92,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20352,MUD POND ,Crown Point ,Eagle Lake ,Y ,Private ,None ,Essex,Champlain,N,None,None,435449,733310,335,128306,43.5,4,48634,6160,51,6.6,10,1.7,336,7.7,13.3,1.3,10/2/1985,,,,,5,,,18,,,,,,55,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20353,BEAR POND,Ticonderoga,Graphite,Y,Public,Pharoah Lake,Essex,Champlain,N,None,None,435201,733433,121.8,92993,23.4,3.5,48577,6142,51,3.9,15,1.8,430,5.2,6.7,1.2,10/1/1984,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20354,LOST POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,434916,733254,55.8,585213,4.9,10.4,48531,6171,51,3,5,5.2,479,11.3,0.5,1.8,10/4/1984,6,23,,,,,,90,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20355,PUTNAM POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,435021,733420,1932.6,2259559,27.8,10.4,48544,6142,51,42.5,40,3.2,399,69.6,4.4,6,9/24/1984,,,,,6,,,39,,,52,,61,25,9,,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20356,BERRYMILL POND,Ticonderoga,Graphite,Y,Public,Pharoah Lake,Essex,Champlain,N,None,None,434856,733453,532.8,436475,24.3,5.8,48520,6140,51,15.1,70,2,511,21.9,6.2,3.4,10/3/1984,,,,,9,,,2,,,,,,44,8,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20357,GRIZZLE OCEAN ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,434922,733551,130.1,373003,16.9,10.1,48527,6130,51,2.1,10,4.8,450,7.7,1.8,1.5,10/2/1984,19,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20358,CLEAR POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,435016,733540,64.6,927908,6.2,18.3,48548,6130,51,1,5,8.8,432,10.5,0.4,1.3,9/26/1984,3,,,,,,,60,,46,108,,27,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
20359,MUD POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,435003,733530,267.3,6388,334.1,1.5,48542,6131,51,0.8,99,0.8,457,0.8,213.4,0.4,9/26/1984,1,,,,,,,40,,93,14,,,31,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
20360,NORTH POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,435015,733458,148.4,844757,3.5,4.6,48554,6141,51,29.7,10,2,399,42,0.9,4.3,9/24/1984,,,,,,,,9,,,24,,12,11,13,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20361,HEART POND ,Ticonderoga ,Graphite ,Y ,Public ,Pharoah Lake ,Essex,Champlain,N,None,None,435059,733426,61.6,29606,17.1,1.5,48561,6145,51,3.6,30,0.8,424,3.6,10.6,0.8,9/26/1984,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20364,BUCK MOUNTAIN POND ,Ticonderoga ,Crown Point ,Y ,Private ,None ,Essex,Champlain,N,None,None,435403,732802,55.6,156275,15.4,6.1,48618,6232,38,0.9,5,4.3,338,3.6,1.4,0.8,9/30/1985,,,,,,,,,,,,,,,,7,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20365,WORCESTER POND ,Ticonderoga ,Crown Point ,Y ,Private ,None ,Essex,Champlain,N,None,None,435302,732955,49.1,309703,7.2,9.1,48600,6205,38,2.5,5,4.6,383,6.8,0.6,1.1,9/30/1985,,,,,5,,,60,,,,,59,4,18,36,26,10,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
20369,MUD POND ,Putnam ,Putnam ,Y ,Private ,None ,Washington,Champlain,N,None,None,434338,732646,117.8,130949,7.2,1.8,48422,6251,51,16.4,10,0.8,174,16.4,4.6,2.2,10/1/1985,,,,,,,,,,,,,,,203,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20370,UNNAMED POND ,Dresden ,Whitehall ,Y ,Private ,None ,Washington,Champlain,N,None,None,433714,732843,81,7934,90,1.2,48306,6229,51,0.9,60,0.9,347,0.9,52.1,0.4,9/23/1986,,,,,,,,25,,2,,,,27,29,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20371,SHELTERED LAKE ,Dresden ,Whitehall ,Y ,Private ,None ,Washington,Champlain,N,None,None,433638,732858,29.7,229431,5.7,13.1,48293,6226,51,1.9,3,4.4,417,5.2,0.7,1.4,9/23/1986,,,,,,,,,,,,,,,13,28,1,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20372,LOWER BLACK MTN POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433554,733206,135.3,31956,67.7,3.7,48281,6184,51,1.8,99,1.6,518,2,21.6,0.7,10/8/1984,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,
20373,UPPER BLACK MTN POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433552,733132,38.6,15712,48.2,4,48281,6189,51,0.6,35,1.9,518,0.8,12.5,0.3,10/8/1984,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,
20376,HIDDEN LAKE LOWER ,Lake George ,Warrensburg ,Y ,Private ,None ,Warren,Champlain,N,None,None,432314,734446,443.1,45429,63.3,1.8,48043,6012,38,7,10,0.6,215,7,37.1,2.3,9/16/1985,,,,,2,,,62,,,,,,18,21,,32,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20377,HIDDEN LAKE UPPER ,Lake George ,Warrensburg ,Y ,Private ,None ,Warren,Champlain,N,None,None,432305,734535,354.3,268980,42.7,7.6,48040,6002,38,4.1,15,3.2,227,8.3,5,1.6,9/16/1985,,,,,1,,,,,,,,,1,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20379,TROUT LAKE ,Bolton ,Bolton Landing ,Y ,Private ,None ,Warren,Champlain,N,None,None,433245,734146,1149.5,6646143,11.2,22.9,48237,6042,51,33.2,15,6.5,240,102.6,0.9,6.4,10/7/1985,,,1,,,6,,2,,,,,1,14,23,9,73,12,2,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20381,EDGECOMB POND ,Bolton ,Bolton Landing ,Y ,Private ,None ,Warren,Champlain,N,None,None,433444,734103,498.6,728778,36.1,12.5,48255,6059,51,3.4,0,5.3,318,13.8,3.5,1.7,9/17/1986,11,,1,,,11,,6,,,,,,95,3,,37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20382,WING POND ,Bolton ,Bolton Landing ,Y ,Private ,None ,Warren,Champlain,N,None,None,433624,733812,66.5,93182,11.9,4.3,48290,6100,51,4.5,10,1.7,143,5.6,3.6,1.5,9/19/1985,,,,,,,,,,,,,,71,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20383,POLEHILL POND ,Bolton ,Brant Lake ,Y ,Private ,None ,Warren,Champlain,N,None,None,433740,733848,97.4,71394,32.5,4.6,48313,6092,51,1.8,5,2.4,332,3,7,0.8,9/24/1986,9,,,,,,,50,,4,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020383A,BROWN POND ,Hague ,Silver Bay ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,433928,733443,26.8,8936,44.7,4,48346,6146,51,0.5,95,1.5,277,0.6,15.3,0.3,9/24/1986,28,,,,,,,8,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20384,INDIAN POND ,Bolton ,Brant Lake ,Y ,Mixed ,None ,Warren,Champlain,N,None,Lake George,433857,733755,33.1,149314,6.4,5.8,48336,6102,51,2.6,5,2.9,357,5.2,1.1,1,9/18/1985,1,,,,,,,,,,,,,3,,,,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20385,LONG POND ,Horicon ,Brant Lake ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434058,733841,114.1,470966,9.1,11.6,48370,6088,51,6.4,0,3.7,399,12.5,1.2,2.2,10/9/1984,24,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,
20386,ISLAND POND ,Horicon ,Brant Lake ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434050,733917,264.5,221070,18.6,7.6,48373,6081,51,12.8,10,1.6,408,14.2,6.1,2.6,10/9/1984,,,,,,,,6,,,,,,98,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
20387,UNNAMED POND ,Horicon ,Brant Lake ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434105,733949,14.9,12836,21.3,4,48375,6077,51,0.5,99,1.8,405,0.7,5.9,0.3,9/25/1986,,,,,,,,13,,,,,,26,,,,,,,,,,,6,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
020389A,UNNAMED POND ,Hague ,Silver Bay ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434230,733700,47.2,21481,18.2,1.8,48401,6113,51,2.6,99,0.8,451,2.6,11.2,0.9,9/6/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20390,ROUND POND ,Horicon ,Brant Lake ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434154,733830,149.3,656348,16.8,28,48391,6093,51,3.5,1,7.4,377,8.9,1.2,1.4,10/8/1984,1,5,6,,,,,54,,40,,2,12,13,,,,,,13,,,,,9,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
20391,DUCK POND ,Horicon ,Brant Lake ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434208,733845,44.5,69070,13.9,5.2,48396,6090,51,2.5,5,2.1,383,3.2,3.3,0.8,10/8/1984,1,,,,,,,10,,,,8,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20393,SPECTACLE POND ,Hague ,Silver Bay ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434315,733545,91.8,17055,38.2,1.5,48419,6130,51,2.4,99,0.7,418,2.4,27.5,0.7,9/6/1984,,,,,,,,336,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20394,JABE POND ,Hague ,Silver Bay ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434237,733152,230.4,3459018,3.9,22.9,48397,6176,51,20.3,5,5.8,400,59.8,0.3,5.8,10/8/1985,46,,,,,,,32,,,,,,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020394A,LITTLE JABE POND ,Hague ,Silver Bay ,Y ,Public ,None ,Warren,Champlain,N,None,Lake George,434245,733215,20.4,56626,8.5,6.7,48409,6178,51,1.7,1,2.3,419,2.4,1.8,0.7,10/10/1984,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020395A,SWAMP GORE (WINTERGREEN) ,Hague ,Graphite ,Y ,Private ,None ,Warren,Champlain,N,None,None,434543,733349,645.5,430135,22.1,2.7,48460,6150,51,29.2,20,1.5,335,29.2,7.7,2.7,9/11/1986,,,,,1,,,8,,,1,,,97,39,10,25,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20398,PINE LAKE ,Dresden ,Whitehall ,Y ,Private ,None ,Washington,Champlain,N,None,None,433634,732727,354.5,1919533,12.1,14,48286,6243,51,6.4,0,6.5,292,29.4,0.9,3.5,9/22/1986,,,,,,,,64,,,,,63,2,30,,113,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20399,MUD (GRAPHITE) POND ,Dresden ,Whitehall ,Y ,Private ,None ,Washington,Champlain,N,None,None,433316,732923,51.3,11237,57,3.4,48234,6220,51,0.9,30,1.2,320,0.9,23.3,0.4,9/22/1986,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020399A,GREGORY POND ,Dresden ,Whitehall ,Y ,Private ,None ,Washington,Champlain,N,None,None,433457,732912,1295.9,14769,1439.9,5.5,48263,6223,51,0.7,10,1.6,326,0.9,447.5,0.5,9/5/1985,4,,,,,,,10,,76,23,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20400,LAPLAND POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433535,733100,169.4,45865,47.1,4.9,48277,6195,51,3.3,70,1.3,524,3.6,18.8,1.2,10/9/1984,18,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20401,UNNAMED POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433534,733120,110,3536,275,1.9,48275,6193,51,0.4,99,0.9,524,0.4,158.7,0.3,10/8/1984,2,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20402,MILLMAN POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433518,733140,40.9,50355,17,7.3,48269,6187,51,1.9,45,2.1,571,2.4,4.1,0.6,10/9/1984,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20406,GREENLAND POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433435,733102,185.8,46323,66.4,4.6,48258,6196,51,2.6,50,1.6,492,2.8,20.5,0.8,10/10/1984,9,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20407,FISHBROOK POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433425,733212,166.5,815657,12.1,17.4,48256,6181,51,5.1,15,5.9,559,13.8,1,2.2,10/10/1984,30,,,,,,,14,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20411,BUMPS POND ,Dresden ,Shelving Rock ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,433338,733305,30.8,42774,12.8,5.5,48240,6171,51,1.9,30,1.8,582,2.4,3.7,0.7,10/11/1984,15,,,,,,,114,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20412,LAKES POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432908,733256,919.4,1873608,28.7,17.7,48151,6169,51,12.1,5,5.9,261,32,2.5,4.2,9/15/1986,1,,,,,,,13,,,11,,,2,91,67,63,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20413,THURBER POND ,Fort Ann ,Shelving Rock ,Y ,Private ,None ,Washington,Champlain,N,None,None,433022,733422,250.8,283587,21.1,4.6,48178,6149,51,7.5,10,2.4,422,11.9,4.5,1.6,9/4/1985,,,,,,,,,,,,,,,,66,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20414,CROSSET POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432950,733445,147.2,3324201,3.6,31.7,48173,6143,51,10.2,5,8.1,446,40.9,0.2,5.6,9/3/1985,,,,,,,,5,,,,,,8,,248,98,,33,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425,COPELAND POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432550,733330,343,698857,14.9,7.9,48096,6165,38,12.9,5,3,137,23,1.9,2.3,9/16/1986,,,,,3,,,36,,,,,,1,113,16,66,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20428,SLY POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432706,733540,166.9,1354140,9.8,23.5,48121,6141,38,3.5,4,7.9,279,17.1,0.5,2.4,9/18/1986,,,,,,,,,,,,,,4,33,40,47,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20429,FIRST POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432737,733610,130.8,138394,59.5,20.4,48128,6131,38,0.7,5,6.3,381,2.2,3.6,0.7,9/16/1986,,,,,,,,26,,,,,,5,25,30,28,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20430,SECOND POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432746,733610,120,53046,63.2,5.8,48128,6131,38,0.9,2,2.8,381,1.9,8.6,0.7,9/16/1986,,,,,,,,21,,,2,,,4,33,12,14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20431,THIRD POND ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432756,733610,107.7,179753,32.6,14.9,48133,6131,38,1,15,5.4,381,3.3,2.3,0.8,9/16/1986,,,,,,,,11,,,,,,7,21,12,39,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20432,HADLOCK LAKE ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432452,733439,2268.5,4197790,27,13.1,48080,6155,38,26.7,10,5,138,84.1,2.1,7.4,9/15/1986,,,,,1,,,2,,,3,,,6,51,49,203,7,14,,6,,,,,,,,,,,,1,,,53,,,,,,,,,,,,,,,,,,,
20433,INMAN POND ,Fort Ann ,Putnam Mtn. ,Y ,Public ,None ,Washington,Champlain,N,None,Lake George,432937,733510,44.2,80371,16.4,9.4,48158,6142,51,1.7,15,3,411,2.7,2.8,0.8,9/5/1985,,,,,,,,,,,,,,141,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20436,LAKE NEBO ,Fort Ann ,Putnam Mtn. ,Y ,Private ,None ,Washington,Champlain,N,None,None,432823,733304,373.5,3407705,7.5,22.9,48134,6167,51,17.2,5,6.8,255,50,0.6,4.8,9/17/1986,,,,,,,,16,,,,,,7,25,146,92,1,36,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20439,BEAR POND,Queensbury,Lake George,Y,Private,None,Warren,Champlain,N,None,None,432340,734030,52.7,106199,13.5,8.2,48052,6072,38,2.6,2,2.7,350,3.9,1.9,0.8,9/18/1985,,,,,,13,,35,,,,,,9,24,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20452,BUTLER POND ,Lake George ,Lake George ,Y ,Private ,None ,Warren,Champlain,N,None,None,432143,734357,278,749985,8.1,4,48026,6024,38,24.5,10,2.2,315,34.2,1.4,3.8,9/16/1985,,,,,,,,,,,,,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020455A,WILKIE RESERVOIR ,Queensbury ,Lake Luzerne ,Y ,Private ,None ,Warren,Champlain,N,None,None,432110,734520,64.2,191892,6.8,6.1,48007,6006,38,7.2,0,2,395,9.5,1.3,1.9,9/18/1986,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030001A,UNNAMED POND ,Clinton ,Churubusco ,N ,Private ,None ,Clinton,St. Lawrence - Canada,N,None,None,445738,735413,475.4,43159,86.4,1.2,49790,5865,38,5.5,80,0.8,343,5.5,41.9,1.4,5/7/1986,,,,,,,,11,,,182,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
