LONG ,LAT ,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
74.336275,44.34783611,5.68,0,12.6,0.14,3.6,0.007,0,1.54,0.7,0.013,6.13
74.328775,44.359225,3.45,0,73.7,1.07,13.1,0.035,0.6,2.62,0.42,0.605,6.26
74.40822222,44.33033611,3.27,,-76.6,5.32,30.8,0.045,2.3,1.16,0.27,0.626,4.15
74.41127778,44.32644722,3.39,,130.1,3.62,9,0.046,1.9,2.15,0.59,0.248,6.18
74.40961111,44.32366944,5.04,0,122,1.35,6.4,0.01,3.4,3.3,0.75,0.324,6.85
74.41655556,44.32311389,4.34,,129.7,2.1,4.2,0.037,2.6,2.86,0.79,0.482,6.78
74.42461111,44.32866944,4.6,0,101.9,1.26,5,0.009,1,3.09,0.76,0.067,6.86
74.41905556,44.32033611,2.04,0,214.8,3.13,6.3,0.015,0,5,0.08,0.051,7.29
74.42322222,44.33755833,5.53,0.02,143.7,1.35,4.1,0.006,3.7,3.54,0.86,0.034,6.9
74.42461111,44.31728056,3.67,0,39,2.91,18.9,0.019,4.8,2.71,0.59,1.043,5.22
74.42766667,44.30005833,2.66,,235.5,2.93,13.1,0.052,6.5,3.8,0.93,1.967,6.91
74.39877778,44.304225,3.67,0,254.2,3.1,2.7,0.008,11.5,3.13,0.89,0.23,7.07
74.38766667,44.27616944,5.87,0,83.3,1.23,2.9,0.004,0.7,2.97,0.69,0.004,7.03
74.39516667,44.26505833,5.1,0,170.4,2.13,4.6,0.015,6.8,4.31,0.89,0.08,7.05
74.34321944,44.33811389,4.83,0,171.4,2,3,0.013,4.5,3.32,1.14,0.011,7.63
74.341275,44.341725,3.92,,-5.6,0.5,4.3,0.015,0,1.07,0.31,0.111,4.91
74.31127222,44.35283333,4.46,0,33.9,0.4,7.8,0.027,0.1,1.86,0.54,0.113,6.28
74.31127222,44.34616944,6.66,0,8.3,1.19,14.7,0.035,2.4,2.22,1.39,0.51,4.84
74.30016111,44.34477778,3.38,0,11.1,0.32,4,0.008,0,0.88,0.05,0.022,5.69
74.30405,44.34811111,2.26,0,-45.3,0.05,4.2,0.02,5.5,0.14,0.06,0.047,4.36
74.28543889,44.35533333,5.24,0,263.3,3.58,2.6,0.026,8,4.38,1.08,0.029,7.78
74.27766111,44.35727778,2.14,0,-29.8,0.53,3.9,0.011,0,0.2,0.05,0.089,4.54
74.29738333,44.35866667,4.99,0,155.9,2.19,2.8,0.014,2,3.11,0.83,0.003,7.61
74.28932778,44.37227778,5.22,0,10.5,0.26,2.9,0.019,0,1.26,0.41,0.003,5.95
74.29793889,44.35144444,1.14,0,-12.9,0.97,8.4,0.021,0.4,0.18,0.05,0.083,4.65
74.29432778,44.35227778,2.59,0,-21.1,0.46,2.1,0.018,0.1,0.46,0.04,0.092,4.63
74.27682778,44.34838889,5.2,0,204.3,2.27,7.7,0.016,2.4,4.25,1.84,0.49,6.96
74.27655,44.37116667,1.33,0,-17.3,1.52,4.4,0.025,0,0.2,0.07,0.065,4.76
74.26126944,44.3795,2.91,0,-8,0.28,4.8,0.017,0,0.56,0.15,0.087,4.99
74.27210556,44.38255556,4.82,0,35.3,0.54,5.3,0.037,0,1.39,0.42,0.107,6.44
74.27738333,44.36894444,3.71,0,-35.8,0.28,7.4,0.013,0,0.76,0.18,0.052,4.42
74.26682778,44.31727778,8.24,0,93.6,0.83,8.7,0.007,7.9,3.81,1.2,0.042,6.78
74.30266389,44.29116944,3.98,0,233.6,4.94,16.9,0.084,5.8,5.55,1.39,0.304,6.28
74.29099722,44.26755833,4.16,0,98,2.09,18.6,0.034,6.6,3.32,1.1,0.288,5.79
74.27182778,44.27838889,8.96,0,96.1,2.52,9.4,0.016,7.6,4.57,1.09,0.11,6.06
74.27293889,44.27838889,7.48,0,74.5,0.57,5.3,0.007,2.5,3.34,0.87,0.015,6.75
73.67180556,44.56143333,5.85,0,156.1,2.27,5.6,0.017,1.6,5.17,0.55,0.048,7.2
73.71625278,44.48088056,0.09,0,50.4,1.69,20.5,0.238,1,1.02,0.32,0.331,5.61
73.73236389,44.51115833,5.63,0,212.1,3.16,8.7,0.021,4.1,4.12,1.05,0.063,7.06
73.72708611,44.5481,6.02,0,356.2,4.75,6.7,0.02,1.9,5.33,0.97,0.132,7.19
73.77569722,44.54254444,3.41,0,224.5,3.52,13.8,0.032,0.4,4.78,0.73,0.845,6.61
73.89736667,44.44338056,5.25,0,565.2,6.74,10.9,0.084,5.2,8.3,1.25,0.336,7.62
73.83708889,44.505325,6.27,0.02,302.9,6.06,12.1,0.056,5.4,5.08,1.52,0.46,6.54
73.84931111,44.42421389,8.53,0,132.1,2.04,6.1,0.054,2.7,5.62,0.69,0.11,7.37
73.91709167,44.33088056,7.43,0,88.1,1.35,9.9,0.034,2.9,4.37,0.67,0.048,6.72
73.90292222,44.32310278,7.87,0.15,108.5,1.34,4.8,0.008,6.8,4.46,0.74,0.135,6.91
73.89792222,44.32921389,6.23,0,143.3,1.67,3.2,0.006,0.5,3.53,0.54,0.005,7.33
73.89375556,44.32615833,8.96,0.05,147.1,2.58,8.1,0.021,4,4.12,0.79,0.094,6.59
73.88903333,44.33171389,8.05,0,118,4.04,8.8,0.022,4.7,5.22,0.71,0.23,6.16
73.88153333,44.32921389,7.26,0,74.4,1.16,7,0.008,4.5,3.64,0.7,0.397,6.4
73.93820278,44.30143611,6.46,0,236.8,5.67,12.2,0.038,3.4,8.98,21.5,0.46,6.29
73.94264722,44.29421389,8.16,0,208.1,5.06,14.6,0.028,8.2,7.54,12.99,0.4,6.17
73.94209167,44.307825,6.87,0,185.1,2.02,5.8,0.013,4.8,4.06,1.2,0.048,7.34
73.93459167,44.30643611,8.24,0,196,1.51,4.6,0.007,3.6,4.79,0.7,0.015,7.38
73.92875833,44.31643611,7.67,0,110,1.27,7.4,0.01,4.7,4.32,0.66,0.029,6.84
73.92875833,44.31726944,6.33,0,154.3,3,8.9,0.032,3.2,4.71,0.68,0.145,6.56
73.92598056,44.325325,8.78,0,139.1,2.25,6.4,0.01,3.8,5.17,0.7,0.051,6.67
73.92459167,44.28976944,7.49,0,216.5,3.17,5.6,0.012,5.2,5.35,0.79,0.201,6.73
73.98320556,44.27699167,7.01,0.14,222.8,2.98,4.8,0.016,5.8,4.87,1.86,0.166,7.1
73.965425,44.29588056,8.15,0,,1.45,5.7,0.016,3.2,4.03,1.28,0.071,7.23
74.02070556,44.332825,5.4,0,13.4,0.89,8,0.023,0.9,1.99,0.46,0.114,5.3
74.01070556,44.267825,5.92,0.04,166.1,1.9,10.3,0.056,9.2,4.06,1.1,0.49,6.75
73.9057,44.22865833,7.51,0,32.9,0.61,3.4,0.015,1.3,2.84,0.46,0.092,6.43
73.95181389,44.22699167,5.98,0.13,431.2,7.12,7.9,0.046,13.8,8.24,3.78,0.342,6.81
73.88375556,44.24226944,7.97,0.03,85.6,1.83,3.5,0.016,7.2,3,0.62,0.238,6.45
74.03765,44.14866389,5.42,0.03,-14.4,0.96,6.6,0.017,5.5,1.26,0.31,0.302,4.73
74.04653889,44.14783056,5.55,0.03,-38.9,0.78,8.7,0.006,3.1,1.06,0.21,0.115,4.42
73.96709167,44.17977222,4.54,0.03,29.5,0.38,2.7,0.01,1.2,2.05,0.47,0.003,6.59
73.95264444,44.15894167,5.14,0.16,-3.1,0.58,3.3,0.003,5.9,1.74,0.54,0.047,5.46
73.71625,44.415325,7.47,0,512.4,5.71,12,0.026,1,9.18,3.31,0.595,6.2
73.76069444,44.31615833,3.7,0,191.1,5.47,13.4,0.046,1.8,3.82,0.71,0.385,6.21
73.87958889,44.24754722,4.86,0,158.8,1.68,9,0.074,5.1,3.9,0.84,0.515,6.89
